price,property_type,bedrooms,bathrooms,total_rooms,living_area,land_area,has_climatisation,has_parabole_tv,has_pool,has_handicapped_access,has_parking,has_garage,has_garden,has_fireplace,has_interphone,has_terrace,has_electric_heating,has_elevator,has_alarm_system,has_internet_access,has_sea_view,has_furnished,has_central_heating,has_kitchen_equipped,is_house,has_many_bedrooms,many_bathrooms,many_total_rooms,area_ratio,neighborhood_encoded,city_encoded,amenity_count,top_amenities_score,log_living_area,log_land_area,living_land_ratio,sqm_per_room,bed_bath,bed_living,bath_living,rooms_per_living_area,avg_room_size,living_area_squared,total_rooms_squared,bedrooms_squared,bathrooms_squared,total_amenities,basic_amenities,comfort_amenities,luxury_amenities,house_bedrooms,house_living_area,house_land_area,bed_bath_ratio,bath_per_room,house_with_garden,house_with_pool,log_price
502951.0,Appartement,2,1,3.0,115.0,115.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.02608695652173913,333530.9611181017,363369.6864175023,2,0,4.7535901911063645,4.7535901911063645,1.0,38.333333333333336,2,230.0,115.0,0.02608695652173913,38.333333333333336,13225.0,9.0,4,1,2,0,2,0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,13.128250017093
420000.0,Appartement,2,1,3.0,128.0,128.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.0234375,333530.9611181017,363369.6864175023,3,0,4.859812404361672,4.859812404361672,1.0,42.666666666666664,2,256.0,128.0,0.0234375,42.666666666666664,16384.0,9.0,4,1,3,1,2,0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,12.948012371209098
470000.0,Appartement,2,1,3.0,170.0,170.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0,0,0,0.01764705882352941,369705.23749562266,363369.6864175023,3,0,5.14166355650266,5.14166355650266,1.0,56.666666666666664,2,340.0,170.0,0.01764705882352941,56.666666666666664,28900.0,9.0,4,1,3,0,2,1,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,13.060490101343552
250000.0,Appartement,3,1,4.0,130.0,130.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.03076923076923077,219007.6610817952,421223.1284046693,3,1,4.875197323201151,4.875197323201151,1.0,32.5,3,390.0,130.0,0.03076923076923077,32.5,16900.0,16.0,9,1,3,0,2,0,0.0,0.0,0.0,3.0,0.25,0.0,0.0,12.429220196836383
220000.0,Appartement,2,1,3.0,90.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.03333333333333333,562398.5204350646,458256.9600923483,0,0,4.51085950651685,4.51085950651685,1.0,30.0,2,180.0,90.0,0.03333333333333333,30.0,8100.0,9.0,4,1,0,0,0,0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,12.301387370778713
170000.0,Appartement,1,1,4.0,60.0,60.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.06666666666666667,285198.43551554164,363369.6864175023,2,0,4.110873864173311,4.110873864173311,1.0,15.0,1,60.0,60.0,0.06666666666666667,15.0,3600.0,16.0,1,1,2,0,2,0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,12.04355959836804
125000.0,Appartement,2,1,4.0,83.0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.04819277108433735,337769.2387979304,421223.1284046693,0,0,4.430816798843313,4.430816798843313,1.0,20.75,2,166.0,83.0,0.04819277108433735,20.75,6889.0,16.0,4,1,0,0,0,0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,11.736077016252437
595000.0,Appartement,3,2,4.0,140.0,140.0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0.0,0,0,0,0.02857142857142857,368515.75381549913,458256.9600923483,15,2,4.948759890378168,4.948759890378168,1.0,35.0,6,420.0,280.0,0.02857142857142857,35.0,19600.0,16.0,9,4,15,4,3,4,0.0,0.0,0.0,1.5,0.5,0.0,0.0,13.296318365198623
185000.0,Appartement,3,2,5.0,172.0,172.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.029069767441860465,453980.2052705471,458256.9600923483,0,0,5.153291594497779,5.153291594497779,1.0,34.4,6,516.0,344.0,0.029069767441860465,34.4,29584.0,25.0,9,4,0,0,0,0,0.0,0.0,0.0,1.5,0.4,0.0,0.0,12.128116509451258
385000.0,Appartement,2,1,3.0,109.0,109.0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0.0,0,0,0,0.027522935779816515,505607.0221327968,458256.9600923483,11,1,4.700480365792417,4.700480365792417,1.0,36.333333333333336,2,218.0,109.0,0.027522935779816515,36.333333333333336,11881.0,9.0,4,1,11,3,2,2,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,12.861001210669146
450000.0,Appartement,3,2,4.0,125.0,125.0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0.0,0,0,0,0.032,453980.2052705471,458256.9600923483,11,1,4.836281906951478,4.836281906951478,1.0,31.25,6,375.0,250.0,0.032,31.25,15625.0,16.0,9,4,11,2,2,3,0.0,0.0,0.0,1.5,0.5,0.0,0.0,13.017005083966255
230000.0,Appartement,1,1,1.0,46.0,46.0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0.0,0,0,0,0.021739130434782608,497765.2185555899,421223.1284046693,11,1,3.8501476017100584,3.8501476017100584,1.0,46.0,1,46.0,46.0,0.021739130434782608,46.0,2116.0,1.0,1,1,11,3,3,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.345838935721968
185000.0,Appartement,2,1,3.0,96.0,96.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.03125,219007.6610817952,421223.1284046693,2,0,4.574710978503383,4.574710978503383,1.0,32.0,2,192.0,96.0,0.03125,32.0,9216.0,9.0,4,1,2,0,2,0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,12.128116509451258
288000.0,Appartement,2,2,2.0,96.0,96.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.020833333333333332,333530.9611181017,363369.6864175023,0,0,4.574710978503383,4.574710978503383,1.0,48.0,4,192.0,192.0,0.020833333333333332,48.0,9216.0,4.0,4,4,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.570719231334277
235000.0,Appartement,1,1,1.0,42.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.023809523809523808,333530.9611181017,363369.6864175023,0,0,3.7612001156935624,3.7612001156935624,1.0,42.0,1,42.0,42.0,0.023809523809523808,42.0,1764.0,1.0,1,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.367345048436391
380000.0,Appartement,1,1,2.0,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.023529411764705882,377309.35526500206,343962.4295859396,1,0,4.454347296253507,4.454347296253507,1.0,42.5,1,85.0,85.0,0.023529411764705882,42.5,7225.0,4.0,1,1,1,0,0,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,12.847929163278053
250000.0,Appartement,2,1,3.0,115.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.02608695652173913,505607.0221327968,458256.9600923483,0,0,4.7535901911063645,4.7535901911063645,1.0,38.333333333333336,2,230.0,115.0,0.02608695652173913,38.333333333333336,13225.0,9.0,4,1,0,0,0,0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,0.0,12.429220196836383
320000.0,Appartement,3,1,6.0,120.0,120.0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0.0,0,0,0,0.05,383538.6938933855,363369.6864175023,6,0,4.795790545596741,4.795790545596741,1.0,20.0,3,360.0,120.0,0.05,20.0,14400.0,36.0,9,1,6,1,2,1,0.0,0.0,0.0,3.0,0.16666666666666666,0.0,0.0,12.676079399771027
240000.0,Appartement,3,1,4.0,125.0,125.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0.032,479613.300970854,427863.8369477912,2,1,4.836281906951478,4.836281906951478,1.0,31.25,3,375.0,125.0,0.032,31.25,15625.0,16.0,9,1,2,0,1,1,0.0,0.0,0.0,3.0,0.25,0.0,0.0,12.388398368982115
337000.0,Appartement,2,1,5.0,116.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.04310344827586207,383538.6938933855,363369.6864175023,0,0,4.762173934797756,4.762173934797756,1.0,23.2,2,232.0,116.0,0.04310344827586207,23.2,13456.0,25.0,4,1,0,0,0,0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,12.727841176689147
85000.0,Appartement,1,1,4.0,90.0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.044444444444444446,465826.5395270159,363369.6864175023,0,0,4.51085950651685,4.51085950651685,1.0,22.5,1,90.0,90.0,0.044444444444444446,22.5,8100.0,16.0,1,1,0,0,0,0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,11.350418300109132
